Home,Away,Stadium,Date,Capacity,Attendance,Final,Popular,Tweets
Essendon,AdelaideCrows,EtihadStadium,8/15,56347,25914,0,64,52
NorthMelbourne,StKilda,BlundstoneArena,8/15,20000,14346,0,47,26
PortAdelaide,GWSGiants,AdelaideOval,8/15,53583,33281,0,36,12
BrisbaneLions,Carlton,Gabba,8/15,42000,17744,0,43,9
GeelongCats,Hawthorn,MelbourneCricketGround,8/15,100024,55802,0,99,55
Richmond,GoldCoastSuns,MelbourneCricketGround,8/16,100024,38508,0,46,25
Fremantle,WestCoastEagles,DomainStadium,8/16,43405,41959,0,73,10
WesternBulldogs,Melbourne,EtihadStadium,8/16,56347,27508,0,20,43
Hawthorn,PortAdelaide,EtihadStadium,8/21,56347,28657,0,84,66
Collingwood,Richmond,MelbourneCricketGround,8/22,100024,63178,0,68,60
GWSGiants,SydneySwans,SpotlessStadium,8/22,24000,19507,0,54,17
GoldCoastSuns,Essendon,MetriconStadium,8/22,27500,16253,0,44,12
AdelaideCrows,BrisbaneLions,AdelaideOval,8/22,53583,47527,0,51,18
StKilda,GeelongCats,EtihadStadium,8/22,56347,25245,0,60,53
NorthMelbourne,Fremantle,EtihadStadium,8/23,56347,23857,0,76,47
WestCoastEagles,WesternBulldogs,DomainStadium,8/23,43405,37733,0,43,13
Carlton,Melbourne,MelbourneCricketGround,8/23,100024,33962,0,33,42
GeelongCats,Collingwood,MelbourneCricketGround,8/28,100024,40582,0,82,40
GWSGiants,Carlton,SpotlessStadium,8/29,24000,9538,0,31,23
Hawthorn,BrisbaneLions,AuroraStadium,8/29,20000,11731,0,70,6
NorthMelbourne,WesternBulldogs,EtihadStadium,8/29,56347,37299,0,46,33
Essendon,Richmond,MelbourneCricketGround,8/29,100024,37864,0,62,54
GoldCoastSuns,PortAdelaide,MetriconStadium,8/29,27500,9343,0,45,4
AdelaideCrows,WestCoastEagles,AdelaideOval,8/30,53583,53445,0,64,38
Fremantle,Melbourne,DomainStadium,8/30,43405,33529,0,50,23
StKilda,SydneySwans,EtihadStadium,8/30,56347,27856,0,63,61
Richmond,NorthMelbourne,EtihadStadium,9/04,56347,40461,0,65,29
GeelongCats,AdelaideCrows,SimondsStadium,9/05,34074,26128,0,80,24
BrisbaneLions,WesternBulldogs,Gabba,9/05,42000,15434,0,30,39
PortAdelaide,Fremantle,AdelaideOval,9/05,53583,38633,0,74,39
Hawthorn,Carlton,MelbourneCricketGround,9/05,100024,33182,0,79,33
WestCoastEagles,StKilda,DomainStadium,9/05,43405,36165,0,44,28
SydneySwans,GoldCoastSuns,SydneyCricketGround,9/05,48000,25424,0,63,68
Melbourne,GWSGiants,EtihadStadium,9/06,56347,8974,0,12,45
Collingwood,Essendon,MelbourneCricketGround,9/06,100024,40270,0,66,41
WestCoastEagles,Hawthorn,DomainStadium,9/11,43405,42663,1,83,37
Fremantle,SydneySwans,DomainStadium,9/12,43405,40071,1,92,33
WesternBulldogs,AdelaideCrows,MelbourneCricketGround,9/12,100024,60782,1,47,57
Richmond,NorthMelbourne,MelbourneCricketGround,9/13,100024,90186,1,65,90
Hawthorn,AdelaideCrows,MelbourneCricketGround,9/18,100024,70879,1,87,68
SydneySwans,NorthMelbourne,ANZStadium,9/19,83500,31162,0,82,49
Fremantle,Hawthorn,DomainStadium,9/25,43405,41508,1,96,40
WestCoastEagles,NorthMelbourne,DomainStadium,9/26,43405,43080,1,66,48
Hawthorn,WestCoastEagles,MelbourneCricketGround,10/3,100024,98633,1,83,194
