Home,Away,Date,Stadium,Attendance,Tweets,Popular,Capacity
BolognaFC,SassuoloCalcio,8/29,RenatoDallAra,26845,19,12,38375
ACMilan,EmpoliFC,8/29,GiuseppeMeazza,34382,45,25,80018
ASRoma,Juventus,8/30,OlimpicoRoma,56040,86,39,72698
Atalanta,FrosinoneCalcio,8/30,AtletiAzzurridItalia,14546,27,15,26562
CarpiFC,Inter,8/30,AlbertoBraglia,10591,24,15,20507
ChievoVerona,LazioRoma,8/30,MarcAntonioBentegodi,10000,30,25,39211
GenoaCFC,HellasVerona,8/30,LuigiFerraris,19462,15,23,36603
SSCNapoli,Sampdoria,8/30,SanPaolo,25128,21,30,60240
TorinoFC,ACFFiorentina,8/30,OlimpicoTorinal,20482,20,29,25370
UdineseCalcio,USPalermo,8/30,Friuli,13200,14,6,30900
ACFFiorentina,GenoaCFC,9/12,ArtemioFranchi,30048,29,32,47284
FrosinoneCalcio,ASRoma,9/12,ComunaleMatusa,4000,5,30,9680
Juventus,ChievoVerona,9/12,JuventusStadium,28899,33,27,41254
HellasVerona,TorinoFC,9/13,MarcAntonioBentegodi,17868,29,20,39211
EmpoliFC,SSCNapoli,9/13,CarloCastellani,9632,8,22,19847
USPalermo,CarpiFC,9/13,RenzoBarbera,20250,10,3,37000
SSCNapoli,Atalanta,9/13,MapeiStadium,8644,11,20,20084
LazioRoma,UdineseCalcio,9/13,OlimpicoRoma,24350,54,23,72698
Inter,ACMilan,9/13,GiuseppeMeazza,79154,166,32,80018
Sampdoria,BolognaFC,9/14,LuigiFerraris,20976,9,17,36603
UdineseCalcio,EmpoliFC,9/19,Friuli,15214,16,11,30900
ACMilan,USPalermo,9/19,GiuseppeMeazza,33689,41,20,80018
ChievoVerona,Inter,9/20,MarcAntonioBentegodi,19500,44,20,39211
Atalanta,HellasVerona,9/20,AtletiAzzurridItalia,14323,25,12,26562
BolognaFC,FrosinoneCalcio,9/20,RenatoDallAra,28436,19,14,38375
GenoaCFC,Juventus,9/20,LuigiFerraris,25115,21,35,36603
ASRoma,SassuoloCalcio,9/20,OlimpicoRoma,60133,56,28,72698
TorinoFC,Sampdoria,9/20,OlimpicoTorinal,13590,20,26,25370
CarpiFC,ACFFiorentina,9/20,AlbertoBraglia,7981,26,19,20507
SSCNapoli,LazioRoma,9/20,SanPaolo,18766,37,34,60240
UdineseCalcio,ACMilan,9/22,Friuli,26775,19,24,30900
CarpiFC,SSCNapoli,9/23,AlbertoBraglia,9950,23,18,20507
ChievoVerona,TorinoFC,9/23,MarcAntonioBentegodi,12000,25,19,39211
Inter,HellasVerona,9/23,GiuseppeMeazza,34548,42,21,80018
Juventus,FrosinoneCalcio,9/23,JuventusStadium,35973,20,31,41254
LazioRoma,GenoaCFC,9/23,OlimpicoRoma,28716,33,33,72698
USPalermo,SassuoloCalcio,9/23,RenzoBarbera,17730,7,10,37000
Sampdoria,ASRoma,9/23,LuigiFerraris,21769,21,33,36603
ACFFiorentina,BolognaFC,9/23,ArtemioFranchi,25085,21,20,47284
EmpoliFC,Atalanta,9/24,CarloCastellani,7625,8,10,19847
ASRoma,CarpiFC,9/26,OlimpicoRoma,56901,56,21,72698
SSCNapoli,Juventus,9/26,SanPaolo,40311,22,36,60240
GenoaCFC,ACMilan,9/27,LuigiFerraris,21294,19,34,36603
BolognaFC,UdineseCalcio,9/27,RenatoDallAra,15576,16,8,38375
HellasVerona,LazioRoma,9/27,MarcAntonioBentegodi,16591,37,26,39211
SassuoloCalcio,ChievoVerona,9/27,MapeiStadium,6220,14,16,20084
TorinoFC,USPalermo,9/27,OlimpicoTorinal,17640,18,13,25370
Inter,ACFFiorentina,9/27,GiuseppeMeazza,42687,41,30,80018
FrosinoneCalcio,EmpoliFC,9/28,ComunaleMatusa,7165,4,17,9680
Atalanta,Sampdoria,9/28,AtletiAzzurridItalia,15756,26,18,26562
CarpiFC,TorinoFC,10/03,AlbertoBraglia,8011,22,14,20507
ChievoVerona,HellasVerona,10/03,MarcAntonioBentegodi,15000,30,15,39211
EmpoliFC,SassuoloCalcio,10/04,CarloCastellani,7634,6,15,19847
USPalermo,ASRoma,10/04,RenzoBarbera,25933,11,20,37000
Sampdoria,Inter,10/04,LuigiFerraris,24329,29,27,36603
UdineseCalcio,GenoaCFC,10/04,Friuli,12704,9,20,30900
Juventus,BolognaFC,10/04,JuventusStadium,39330,40,23,41254
LazioRoma,FrosinoneCalcio,10/04,OlimpicoRoma,27806,41,29,72698
ACFFiorentina,Atalanta,10/04,ArtemioFranchi,25644,27,21,47284
ACMilan,SSCNapoli,10/04,GiuseppeMeazza,50488,64,35,80018
