Home,Away,Date,Popular,Stadium,Capacity,Tweets,Attendance
Levante,Sevilla,9/11,27,ciudad de valencia,25354,17,14775
Espanyol,RealMadrid,9/12,27,power8 stadium,40500,59,27395
Sporting,Valencia,9/12,15,el molinón,30000,32,23133
AtleticoMadrid,Barcelona,9/12,40,vicente calderón,54907,124,51691
RealBetis,RealSociedad,9/12,15,benito villamarín,52500,94,37909
Granada,Villarreal,9/13,21,nuevo los cármenes,22369,10,13996
Athletic,Getafe,9/13,25,san mamés,53332,31,39107
Celta,LasPalmas,9/13,14,estadio de balaídos,29000,20,19044
Malaga,SDEibar,9/13,12,la rosaleda,30044,47,19937
RayoVallecano,Deportivo,9/14,11,campo de fútbol de vallecas,14505,20,11740
Getafe,Malaga,9/18,18,coliseum alfonso pérez,17000,8,5808
RealMadrid,Granada,9/19,26,santiago bernabéu,80000,216,71786
Valencia,RealBetis,9/19,14,estadio de mestalla,55000,62,40000
SDEibar,AtleticoMadrid,9/19,22,municipal de ipurua,5250,7,5126
RealSociedad,Espanyol,9/19,21,anoeta,32076,9,17481
Sevilla,Celta,9/20,28,ramón sánchez pizjuán,45500,65,35744
Deportivo,Sporting,9/20,4,riazor,34600,52,25801
Villarreal,Athletic,9/20,32,el madrigal,24500,18,19932
LasPalmas,RayoVallecano,9/20,11,estadio de gran canaria,31250,6,19324
Barcelona,Levante,9/20,31,camp nou,99354,151,76013
AtleticoMadrid,Getafe,9/22,28,vicente calderón,54907,62,41152
Espanyol,Valencia,9/22,20,power8 stadium,40500,31,18231
Granada,RealSociedad,9/22,20,nuevo los cármenes,22369,12,12668
Celta,Barcelona,9/23,32,estadio de balaídos,29000,75,23311
Levante,SDEibar,9/23,13,ciudad de valencia,25354,7,10929
RayoVallecano,Sporting,9/23,11,campo de fútbol de vallecas,14505,23,11067
Athletic,RealMadrid,9/23,37,san mamés,53332,35,43387
LasPalmas,Sevilla,9/23,18,estadio de gran canaria,31250,11,19733
Malaga,Villarreal,9/23,25,la rosaleda,30044,36,18647
RealBetis,Deportivo,9/24,3,benito villamarín,52500,65,37051
Valencia,Granada,9/25,19,estadio de mestalla,55000,49,41124
Barcelona,LasPalmas,9/26,22,camp nou,99354,143,68694
RealMadrid,Malaga,9/26,30,santiago bernabéu,80000,180,75361
Sevilla,RayoVallecano,9/26,25,ramón sánchez pizjuán,45500,89,33779
Villarreal,AtleticoMadrid,9/26,35,el madrigal,24500,10,20087
SDEibar,Celta,9/26,14,municipal de ipurua,5250,3,4862
Sporting,RealBetis,9/27,3,el molinón,30000,35,23250
Deportivo,Espanyol,9/27,9,riazor,34600,31,21753
Getafe,Levante,9/27,19,coliseum alfonso pérez,17000,11,5934
RealSociedad,Athletic,9/27,31,anoeta,32076,20,26310
Celta,Getafe,10/02,20,estadio de balaídos,29000,14,18301
Sevilla,Barcelona,10/03,36,ramón sánchez pizjuán,45500,103,39374
Granada,Deportivo,10/03,8,nuevo los cármenes,22369,19,14168
Espanyol,Sporting,10/03,9,power8 stadium,40500,29,18825
LasPalmas,SDEibar,10/03,4,estadio de gran canaria,31250,8,18577
Malaga,RealSociedad,10/03,24,la rosaleda,30044,38,17315
RayoVallecano,RealBetis,10/04,10,campo de fútbol de vallecas,14505,26,11820
Athletic,Valencia,10/04,30,san mamés,53332,32,41508
Levante,Villarreal,10/04,26,ciudad de valencia,25354,15,20038
AtleticoMadrid,RealMadrid,10/04,40,vicente calderón,54907,137,53079
